Record_ID,Fab_Step,Equipment_ID,Cycle_Time_Sec,Queue_Time_Sec,Wafer_Yield_Percent,Defect_Count,Machine_Status,Operator_ID,Run_Timestamp
1,Doping,195,1507.66,679.55,92.95,2,Maintenance,1097,1/1/2025 0:00
2,CMP,110,848.21,788.38,99.42,1,Maintenance,1024,1/1/2025 0:01
3,Etching,102,1299.21,623.09,92.24,3,Running,1014,1/1/2025 0:02
4,Wafer_Start,142,955.7,451.58,91.86,3,Running,1034,1/1/2025 0:03
5,Doping,140,1453.6,915.22,91.2,0,Running,1032,1/1/2025 0:04
6,CMP,174,1599.3,542.67,93.22,2,Maintenance,1097,1/1/2025 0:05
7,Deposition,121,1622.45,782.88,99.19,3,Running,1024,1/1/2025 0:06
8,Wafer_Start,122,823.89,383.63,93.21,1,Maintenance,1040,1/1/2025 0:07
9,Photolithography,188,1046.43,729.86,99.43,2,Maintenance,1019,1/1/2025 0:08
10,Inspection,149,1475.62,415,96.73,2,Idle,1041,1/1/2025 0:09
11,Doping,141,1105.3,602.89,91.32,2,Running,1038,1/1/2025 0:10
12,Wafer_Start,181,1361.02,760.14,91.54,1,Running,1010,1/1/2025 0:11
13,Doping,193,1114.72,781.68,92.3,4,Running,1011,1/1/2025 0:12
14,Inspection,123,834.52,716.35,100,3,Running,1092,1/1/2025 0:13
15,Deposition,100,815.71,795.54,97.51,2,Down,1036,1/1/2025 0:14
16,Photolithography,195,1206.28,713.99,90.77,1,Running,1077,1/1/2025 0:15
17,CMP,111,1139.1,455.23,94.19,4,Running,1024,1/1/2025 0:16
18,Wafer_Start,197,1559.76,526.79,96.69,3,Running,1014,1/1/2025 0:17
19,Etching,119,1076.48,666.42,92.91,6,Maintenance,1087,1/1/2025 0:18
20,Inspection,132,850.46,426.65,99.96,1,Running,1018,1/1/2025 0:19
21,Inspection,127,1423.2,865.88,95.57,3,Running,1025,1/1/2025 0:20
22,Inspection,141,1072.45,574.74,97.82,3,Running,1058,1/1/2025 0:21
23,Doping,175,737.26,614.16,98.82,0,Running,1088,1/1/2025 0:22
24,Wafer_Start,188,1309.65,462.53,93.64,3,Idle,1000,1/1/2025 0:23
25,Deposition,114,987.3,698.34,100,2,Down,1057,1/1/2025 0:24
26,CMP,149,704.75,435.98,95.67,0,Running,1017,1/1/2025 0:25
27,Doping,122,1338.59,374.55,96.15,0,Running,1099,1/1/2025 0:26
28,Wafer_Start,163,968.67,448.72,95.52,3,Maintenance,1072,1/1/2025 0:27
29,Deposition,132,1480.63,601.21,94.85,3,Running,1036,1/1/2025 0:28
30,Doping,132,1140.63,549.38,92.72,3,Maintenance,1082,1/1/2025 0:29
31,Deposition,156,1096.23,918.58,97.5,2,Idle,1019,1/1/2025 0:30
32,Wafer_Start,102,1847.89,765.55,95.4,1,Down,1031,1/1/2025 0:31
33,Wafer_Start,139,1249.21,607.02,94.2,3,Running,1047,1/1/2025 0:32
34,Etching,120,1119.95,652.18,93.81,1,Down,1035,1/1/2025 0:33
35,Deposition,165,1252.79,810.41,94.91,2,Running,1021,1/1/2025 0:34
36,Doping,149,1251.16,947.86,97.21,2,Running,1032,1/1/2025 0:35
37,Doping,175,1707.64,702.78,96.98,0,Down,1077,1/1/2025 0:36
38,Etching,117,1049.31,645.89,100,2,Maintenance,1045,1/1/2025 0:37
39,Photolithography,198,1284.17,616.21,94.82,1,Running,1054,1/1/2025 0:38
40,CMP,173,1140.61,692.96,93.07,3,Maintenance,1084,1/1/2025 0:39
41,Packaging,156,1475.48,838.64,95.65,1,Down,1060,1/1/2025 0:40
42,Etching,185,1318.61,664.02,97.56,1,Maintenance,1006,1/1/2025 0:41
43,Doping,193,1061.14,859.28,96.95,3,Idle,1004,1/1/2025 0:42
44,Deposition,178,1167.37,455.75,96,1,Running,1065,1/1/2025 0:43
45,Etching,131,1332.15,293.04,96.06,2,Maintenance,1080,1/1/2025 0:44
46,Deposition,147,885.34,726.07,91.98,2,Running,1026,1/1/2025 0:45
47,Photolithography,138,1370.72,535.16,96.56,0,Idle,1064,1/1/2025 0:46
48,Doping,128,937.4,735.38,93.25,2,Down,1030,1/1/2025 0:47
49,Photolithography,132,1529.77,480.93,94.75,3,Down,1068,1/1/2025 0:48
50,Deposition,127,1536.87,606.06,95.16,3,Running,1079,1/1/2025 0:49
51,CMP,165,748.62,557.44,94.58,0,Running,1001,1/1/2025 0:50
52,Photolithography,140,1325.2,782.19,96.78,1,Running,1000,1/1/2025 0:51
53,Wafer_Start,113,1115.57,503.59,94.03,4,Maintenance,1041,1/1/2025 0:52
54,Packaging,155,1069.67,432.39,93.61,0,Running,1084,1/1/2025 0:53
55,Packaging,122,1174.02,516.47,94.93,1,Running,1000,1/1/2025 0:54
